Time (s),System Output,ControllerOutput
6.000042,1.035756,0.010367
6.010043,1.035653,0.010395
6.020043,1.035550,0.010421
6.030043,1.035447,0.010447
6.040043,1.035344,0.010474
6.050044,1.035242,0.010500
6.060044,1.035140,0.010527
6.070044,1.035038,0.010553
6.080044,1.034936,0.010580
6.090044,1.034835,0.010604
6.100045,1.034734,0.010632
6.110045,1.034634,0.010657
6.120045,1.034534,0.010684
6.130045,1.034433,0.010710
6.140046,1.034333,0.010737
6.150046,1.034234,0.010760
6.160046,1.034135,0.010788
6.170046,1.034036,0.010813
6.180047,1.033937,0.010839
6.190047,1.033839,0.010865
6.200047,1.033741,0.010891
6.210047,1.033643,0.010914
6.220047,1.033545,0.010941
6.230048,1.033448,0.010966
6.240048,1.033351,0.010992
6.250048,1.033254,0.011017
6.260048,1.033158,0.011043
6.270049,1.033061,0.011067
6.280049,1.032965,0.011093
6.290049,1.032870,0.011117
6.300049,1.032774,0.011143
6.310050,1.032679,0.011167
6.320050,1.032584,0.011193
6.330050,1.032490,0.011218
6.340050,1.032395,0.011242
6.350050,1.032301,0.011267
6.360051,1.032208,0.011292
6.370051,1.032114,0.011317
6.380051,1.032021,0.011341
6.390051,1.031928,0.011366
6.400052,1.031835,0.011390
6.410052,1.031742,0.011415
6.420052,1.031650,0.011438
6.430052,1.031558,0.011464
6.440053,1.031466,0.011486
6.450053,1.031375,0.011512
6.460053,1.031284,0.011534
6.470053,1.031193,0.011559
6.480053,1.031103,0.011582
6.490054,1.031012,0.011607
6.500054,1.030922,0.011630
6.510054,1.030832,0.011654
6.520054,1.030743,0.011678
6.530055,1.030653,0.011701
6.540055,1.030564,0.011725
6.550055,1.030475,0.011748
6.560055,1.030387,0.011773
6.570055,1.030298,0.011795
6.580056,1.030210,0.011821
6.590056,1.030122,0.011841
6.600056,1.030035,0.011866
6.610056,1.029947,0.011889
6.620057,1.029860,0.011913
6.630057,1.029773,0.011936
6.640057,1.029687,0.011959
6.650057,1.029600,0.011982
6.660058,1.029514,0.012005
6.670058,1.029428,0.012027
6.680058,1.029343,0.012050
6.690058,1.029257,0.012072
6.700058,1.029172,0.012095
6.710059,1.029087,0.012118
6.720059,1.029003,0.012141
6.730059,1.028918,0.012164
6.740059,1.028834,0.012185
6.750060,1.028750,0.012209
6.760060,1.028666,0.012230
6.770060,1.028583,0.012253
6.780060,1.028500,0.012275
6.790061,1.028417,0.012297
6.800061,1.028334,0.012319
6.810061,1.028251,0.012341
6.820061,1.028169,0.012363
6.830061,1.028087,0.012385
6.840062,1.028005,0.012407
6.850062,1.027924,0.012429
6.860062,1.027843,0.012450
6.870062,1.027761,0.012473
6.880063,1.027681,0.012493
6.890063,1.027600,0.012516
6.900063,1.027520,0.012536
6.910063,1.027439,0.012558
6.920063,1.027359,0.012581
6.930064,1.027280,0.012601
6.940064,1.027200,0.012623
6.950064,1.027121,0.012644
6.960064,1.027042,0.012664
6.970065,1.026963,0.012687
6.980065,1.026885,0.012707
6.990065,1.026806,0.012728
7.000065,1.026728,0.012749
7.010066,1.026650,0.012771
7.020066,1.026573,0.012791
7.030066,1.026495,0.012811
7.040066,1.026418,0.012832
7.050066,1.026341,0.012854
7.060067,1.026264,0.012874
7.070067,1.026188,0.012894
7.080067,1.026111,0.012915
7.090067,1.026035,0.012936
7.100068,1.025959,0.012956
7.110068,1.025884,0.012975
7.120068,1.025808,0.012997
7.130068,1.025733,0.013016
7.140069,1.025658,0.013037
7.150069,1.025583,0.013056
7.160069,1.025509,0.013078
7.170069,1.025434,0.013097
7.180069,1.025360,0.013117
7.190070,1.025286,0.013137
7.200070,1.025213,0.013156
7.210070,1.025139,0.013176
7.220070,1.025066,0.013197
7.230071,1.024993,0.013215
7.240071,1.024920,0.013235
7.250071,1.024847,0.013256
7.260071,1.024775,0.013275
7.270072,1.024703,0.013293
7.280072,1.024631,0.013314
7.290072,1.024559,0.013332
7.300072,1.024487,0.013353
7.310072,1.024416,0.013371
7.320073,1.024345,0.013390
7.330073,1.024274,0.013410
7.340073,1.024203,0.013429
7.350073,1.024132,0.013448
7.360074,1.024062,0.013466
7.370074,1.023992,0.013485
7.380074,1.023922,0.013505
7.390074,1.023852,0.013523
7.400074,1.023782,0.013543
7.410075,1.023713,0.013560
7.420075,1.023644,0.013579
7.430075,1.023575,0.013599
7.440075,1.023506,0.013615
7.450076,1.023438,0.013636
7.460076,1.023369,0.013652
7.470076,1.023301,0.013673
7.480076,1.023233,0.013690
7.490077,1.023165,0.013710
7.500077,1.023098,0.013727
7.510077,1.023030,0.013747
7.520077,1.022963,0.013763
7.530077,1.022896,0.013780
7.540078,1.022830,0.013800
7.550078,1.022763,0.013816
7.560078,1.022697,0.013836
7.570078,1.022630,0.013852
7.580079,1.022564,0.013872
7.590079,1.022499,0.013888
7.600079,1.022433,0.013907
7.610079,1.022367,0.013924
7.620080,1.022302,0.013942
7.630080,1.022237,0.013958
7.640080,1.022172,0.013977
7.650080,1.022108,0.013995
7.660080,1.022043,0.014011
7.670081,1.021979,0.014030
7.680081,1.021915,0.014046
7.690081,1.021851,0.014065
7.700081,1.021787,0.014081
7.710082,1.021723,0.014098
7.720082,1.021660,0.014115
7.730082,1.021597,0.014133
7.740082,1.021534,0.014149
7.750082,1.021471,0.014167
7.760083,1.021408,0.014184
7.770083,1.021346,0.014200
7.780083,1.021284,0.014218
7.790083,1.021222,0.014234
7.800084,1.021160,0.014252
7.810084,1.021098,0.014266
7.820084,1.021036,0.014285
7.830084,1.020975,0.014301
7.840085,1.020914,0.014317
7.850085,1.020853,0.014334
7.860085,1.020792,0.014351
7.870085,1.020731,0.014367
7.880085,1.020671,0.014384
7.890086,1.020610,0.014399
7.900086,1.020550,0.014416
7.910086,1.020490,0.014432
7.920086,1.020431,0.014447
7.930087,1.020371,0.014465
7.940087,1.020311,0.014481
7.950087,1.020252,0.014496
7.960087,1.020193,0.014513
7.970088,1.020134,0.014529
7.980088,1.020075,0.014544
7.990088,1.020017,0.014561
8.000088,1.019958,0.014576
8.010088,1.019900,0.014592
8.020088,1.019842,0.014608
8.030088,1.019784,0.014624
8.040089,1.019726,0.014639
8.050089,1.019669,0.014655
8.060089,1.019611,0.014671
8.070089,1.019554,0.014686
8.080090,1.019497,0.014702
8.090090,1.019440,0.014717
8.100090,1.019383,0.014732
8.110090,1.019327,0.014747
8.120090,1.019270,0.014763
8.130091,1.019214,0.014778
8.140091,1.019158,0.014793
8.150091,1.019102,0.014809
8.160091,1.019046,0.014824
8.170092,1.018991,0.014838
8.180092,1.018935,0.014854
8.190092,1.018880,0.014869
8.200092,1.018825,0.014885
8.210093,1.018770,0.014897
8.220093,1.018715,0.014913
8.230093,1.018661,0.014928
8.240093,1.018606,0.014943
8.250093,1.018552,0.014956
8.260094,1.018498,0.014972
8.270094,1.018444,0.014987
8.280094,1.018390,0.015002
8.290094,1.018336,0.015017
8.300095,1.018283,0.015030
8.310095,1.018229,0.015046
8.320095,1.018176,0.015059
8.330095,1.018123,0.015074
8.340096,1.018070,0.015087
8.350096,1.018018,0.015102
8.360096,1.017965,0.015116
8.370096,1.017913,0.015131
8.380096,1.017860,0.015145
8.390097,1.017808,0.015160
8.400097,1.017756,0.015173
8.410097,1.017704,0.015188
8.420097,1.017653,0.015202
8.430098,1.017601,0.015217
8.440098,1.017550,0.015229
8.450098,1.017498,0.015243
8.460098,1.017447,0.015257
8.470098,1.017396,0.015271
8.480099,1.017346,0.015285
8.490099,1.017295,0.015299
8.500099,1.017244,0.015313
8.510099,1.017194,0.015325
8.520100,1.017144,0.015340
8.530100,1.017094,0.015353
8.540100,1.017044,0.015367
8.550100,1.016994,0.015381
8.560101,1.016945,0.015394
8.570101,1.016895,0.015408
8.580101,1.016846,0.015421
8.590101,1.016797,0.015433
8.600101,1.016748,0.015447
8.610102,1.016699,0.015460
8.620102,1.016650,0.015474
8.630102,1.016601,0.015487
8.640102,1.016553,0.015501
8.650103,1.016504,0.015514
8.660103,1.016456,0.015528
8.670103,1.016408,0.015540
8.680103,1.016360,0.015552
8.690104,1.016313,0.015565
8.700104,1.016265,0.015578
8.710104,1.016218,0.015591
8.720104,1.016170,0.015604
8.730104,1.016123,0.015617
8.740105,1.016076,0.015630
8.750105,1.016029,0.015643
8.760105,1.015982,0.015656
8.770105,1.015935,0.015669
8.780106,1.015889,0.015682
8.790106,1.015842,0.015694
8.800106,1.015796,0.015706
8.810106,1.015750,0.015718
8.820107,1.015704,0.015731
8.830107,1.015658,0.015743
8.840107,1.015613,0.015755
8.850107,1.015567,0.015768
8.860107,1.015522,0.015780
8.870108,1.015476,0.015792
8.880108,1.015431,0.015805
8.890108,1.015386,0.015817
8.900108,1.015341,0.015829
8.910109,1.015296,0.015842
8.920109,1.015252,0.015854
8.930109,1.015207,0.015866
8.940109,1.015163,0.015877
8.950109,1.015119,0.015890
8.960110,1.015074,0.015901
8.970110,1.015031,0.015914
8.980110,1.014987,0.015925
8.990110,1.014943,0.015937
9.000111,1.014899,0.015949
9.010111,1.014856,0.015961
9.020111,1.014812,0.015973
9.030111,1.014769,0.015985
9.040112,1.014726,0.015997
9.050112,1.014683,0.016008
9.060112,1.014640,0.016020
9.070112,1.014597,0.016031
9.080112,1.014555,0.016043
9.090113,1.014512,0.016054
9.100113,1.014470,0.016066
9.110113,1.014428,0.016077
9.120113,1.014386,0.016088
9.130114,1.014344,0.016100
9.140114,1.014302,0.016111
9.150114,1.014260,0.016124
9.160114,1.014218,0.016133
9.170115,1.014177,0.016147
9.180115,1.014135,0.016157
9.190115,1.014094,0.016169
9.200115,1.014053,0.016180
9.210115,1.014012,0.016192
9.220116,1.013971,0.016201
9.230116,1.013930,0.016213
9.240116,1.013889,0.016224
9.250116,1.013849,0.016235
